ts,load
1604201400,13.4
1604201401,0
1604201403,0
1604201404,0
1604201405,6.2
1604201406,0
1604201407,0
1604201408,0
1604201410,6.7
1604201411,0
1604201412,6.7
1604201413,0
1604201414,6.2
1604201415,0
1604201417,6.2
1604201418,0
1604201419,0
1604201420,0
1604201421,0
1604201422,73.4
1604201424,66.7
1604201425,40
1604201426,143.6
1604201427,46.7
1604201428,43.7
1604201430,56.2
1604201431,40
1604201432,40
1604201433,46.7
1604201434,50
1604201435,26.7
1604201437,53.4
1604201438,43.8
1604201439,46.7
1604201440,35.3
1604201441,37.5
1604201442,56.2
1604201444,43.7
1604201445,33.4
1604201446,53.4
1604201447,60
1604201448,46.7
1604201449,25
1604201451,40
1604201452,50
1604201453,31.2
1604201454,60
1604201455,26.7
1604201456,40
1604201458,46.7
1604201459,37.4
1604201460,43.8
1604201461,46.7
1604201462,37.4
1604201464,26.7
1604201465,43.7
1604201466,41.2
1604201467,60
1604201468,31.2
1604201469,40
1604201471,43.8
1604201472,40
1604201473,56.2
1604201474,33.3
1604201475,33.3
1604201477,50
1604201478,31.2
1604201479,26.7
1604201480,31.2
1604201481,56.2
1604201482,37.5
1604201484,31.2
1604201485,56.2
1604201486,37.5
1604201487,33.3
1604201488,31.2
1604201489,60
1604201491,33.3
1604201492,37.5
1604201493,62.4
1604201494,50
1604201495,66.7
1604201496,53.3
1604201498,33.4
1604201499,43.8
1604201500,31.2
1604201501,50
1604201502,50
1604201503,37.5
1604201505,33.4
1604201506,43.8
1604201507,62.4
1604201508,37.5
1604201509,25
1604201511,46.7
1604201512,56.2
1604201513,62.4
1604201514,31.2
1604201515,40
1604201516,60
1604201518,46.7
1604201519,40
1604201520,43.8
1604201521,53.3
1604201522,60
1604201523,31.2
1604201525,46.7
1604201526,53.3
1604201527,46.7
1604201528,33.3
1604201529,43.8
1604201531,43.8
1604201532,26.7
1604201533,46.7
1604201534,43.8
1604201535,62.4
1604201536,25
1604201538,31.2
1604201539,49.9
1604201540,50
1604201541,37.4
1604201542,25
1604201543,25
1604201545,53.3
1604201546,33.3
1604201547,60
1604201548,46.7
1604201549,33.3
1604201550,43.8
1604201552,56.2
1604201553,31.2
1604201554,43.8
1604201555,37.5
1604201556,43.8
1604201557,31.2
1604201559,31.2
1604201560,43.8
1604201561,50
1604201562,31.2
1604201563,53.3
1604201565,40.1
1604201566,43.7
1604201567,43.7
1604201568,66.7
1604201569,46.7
1604201570,20
1604201572,40
1604201573,50
1604201574,25
1604201575,37.5
1604201576,25
1604201577,56.2
1604201579,46.7
1604201580,33.3
1604201581,40
1604201582,60
1604201583,46.7
1604201584,18.8
1604201586,50
1604201587,53.3
1604201588,31.2
1604201589,33.3
1604201590,66.6
1604201591,46.7
1604201593,33.3
1604201594,43.8
1604201595,50
1604201596,37.4
1604201597,53.4
1604201599,60
1604201600,53.3
1604201601,33.4
1604201602,37.4
1604201603,41.2
1604201604,60
1604201606,33.4
1604201607,46.7
1604201608,43.8
1604201609,43.8
1604201610,25
1604201611,60
1604201613,60
1604201614,33.4
1604201615,33.3
1604201616,41.2
1604201617,43.7
1604201618,25
1604201620,37.5
1604201621,62.4
1604201622,37.5
1604201623,40
1604201624,46.7
1604201626,46.7
1604201627,40.1
1604201628,37.5
1604201629,56.2
1604201630,33.3
1604201631,53.4
1604201633,46.7
1604201634,46.7
1604201635,40
1604201636,26.7
1604201637,53.4
1604201638,60
1604201640,26.7
1604201641,37.5
1604201642,46.7
1604201643,56.2
1604201644,33.3
1604201645,33.4
1604201647,60.1
1604201648,60
1604201649,46.7
1604201650,31.2
1604201651,40
1604201653,66.7
1604201654,53.4
1604201655,31.2
1604201656,40
1604201657,60
1604201658,33.3
1604201660,31.2
1604201661,40
1604201662,53.3
1604201663,33.3
1604201664,33.4
1604201665,50
1604201667,80
1604201668,33.3
1604201669,31.2
1604201670,53.4
1604201671,46.7
1604201672,46.7
1604201674,31.2
1604201675,53.3
1604201676,53.3
1604201677,40
1604201678,33.3
1604201680,53.3
1604201681,46.7
1604201682,31.2
1604201683,31.2
1604201684,46.7
1604201685,53.3
1604201687,40
1604201688,37.4
1604201689,53.4
1604201690,53.3
1604201691,33.3
1604201692,33.3
1604201694,50
1604201695,37.5
1604201696,31.2
1604201697,46.7
1604201698,56.2
1604201699,12.5
1604201701,56.2
1604201702,46.7
1604201703,31.2
1604201704,62.4
1604201705,50
1604201707,31.2
1604201708,37.4
1604201709,43.7
1604201710,37.4
1604201711,37.4
1604201712,66.7
1604201714,37.5
1604201715,37.4
1604201716,37.4
1604201717,50
