ts,load
1604202048,6.7
1604202049,6.2
1604202050,0
1604202052,0
1604202053,6.7
1604202054,0
1604202055,6.7
1604202056,0
1604202057,0
1604202059,0
1604202060,6.7
1604202061,0
1604202062,0
1604202063,0
1604202064,0
1604202066,0
1604202067,0
1604202068,0
1604202069,0
1604202070,0
1604202071,0
1604202073,0
1604202074,0
1604202075,0
1604202076,0
1604202077,6.2
1604202078,0
1604202080,0
1604202081,0
1604202082,0
1604202083,6.7
1604202084,0
1604202085,0
1604202087,0
1604202088,0
1604202089,0
1604202090,0
1604202091,0
1604202092,0
1604202094,0
1604202095,0
1604202096,0
1604202097,0
1604202098,6.7
1604202099,6.7
1604202101,0
1604202102,53.3
1604202103,26.7
1604202104,43.7
1604202105,26.7
1604202106,18.8
1604202108,40
1604202109,25
1604202110,26.7
1604202111,31.2
1604202112,26.7
1604202113,26.7
1604202115,40
1604202116,18.8
1604202117,40
1604202118,46.7
1604202119,25
1604202120,26.7
1604202122,46.7
1604202123,25
1604202124,25
1604202125,46.7
1604202126,26.7
1604202127,25
1604202129,33.3
1604202130,18.8
1604202131,33.4
1604202132,37.5
1604202133,33.4
1604202134,26.7
1604202136,43.7
1604202137,20
1604202138,25
1604202139,46.7
1604202140,40
1604202141,31.2
1604202143,20
1604202144,40
1604202145,25
1604202146,33.3
1604202147,18.8
1604202148,26.7
1604202150,37.5
1604202151,20
1604202152,31.2
1604202153,46.7
1604202154,33.3
1604202155,33.4
1604202157,43.8
1604202158,20
1604202159,37.5
1604202160,46.7
1604202161,20
1604202162,25
1604202164,40
1604202165,18.8
1604202166,33.3
1604202167,18.8
1604202168,26.7
1604202169,37.5
1604202171,46.7
1604202172,33.4
1604202173,25
1604202174,46.7
1604202175,33.3
1604202176,40
1604202178,37.5
1604202179,26.7
1604202180,37.5
1604202181,43.7
1604202182,20
1604202183,23.5
1604202185,43.8
1604202186,25
1604202187,20
1604202188,49.9
1604202189,26.7
1604202190,25
1604202192,40
1604202193,20
1604202194,31.2
1604202195,20
1604202196,33.3
1604202197,26.7
1604202199,37.5
1604202200,33.3
1604202201,40
1604202202,40
1604202203,20
1604202204,26.7
1604202206,26.7
1604202207,33.3
1604202208,18.8
1604202209,40
1604202210,26.7
1604202211,20
1604202213,26.7
1604202214,37.5
1604202215,26.7
1604202216,31.2
1604202217,26.7
1604202218,31.2
1604202220,46.7
1604202221,18.8
1604202222,46.7
1604202223,18.8
1604202224,40
1604202225,40
1604202227,37.5
1604202228,20
1604202229,26.7
1604202230,20
1604202231,33.3
1604202232,46.7
1604202234,40
1604202235,20
