ts,load
1604203484,13.4
1604203485,0
1604203486,0
1604203487,0
1604203488,0
1604203489,0
1604203491,0
1604203492,0
1604203493,0
1604203494,6.7
1604203495,6.2
1604203496,0
1604203498,0
1604203499,6.7
1604203500,0
1604203501,0
1604203502,0
1604203503,0
1604203505,0
1604203506,0
1604203507,0
1604203508,0
1604203509,0
1604203510,0
1604203511,0
1604203513,0
1604203514,0
1604203515,0
1604203516,0
1604203517,0
1604203518,0
1604203520,0
1604203521,0
1604203522,0
1604203523,0
1604203524,0
1604203525,0
1604203527,12.4
1604203528,0
1604203529,0
1604203530,0
1604203531,0
1604203532,0
1604203534,0
1604203535,0
1604203536,0
1604203537,33.3
1604203538,31.2
1604203539,46.7
1604203541,18.8
1604203542,20
1604203543,40
1604203544,25
1604203545,26.7
1604203546,40
1604203548,20
1604203549,25
1604203550,46.7
1604203551,18.8
1604203552,26.7
1604203553,46.7
1604203555,25
1604203556,33.4
1604203557,40
1604203558,25
1604203559,18.8
1604203560,40
1604203562,26.7
1604203563,26.7
1604203564,40
1604203565,20
1604203566,40
1604203567,37.5
1604203569,20
1604203570,26.7
1604203571,37.4
1604203572,26.7
1604203573,33.4
1604203574,40
1604203576,18.8
1604203577,33.3
1604203578,31.2
1604203579,20
1604203580,37.5
1604203581,33.3
1604203583,37.5
1604203584,18.7
1604203585,26.7
1604203586,37.5
1604203587,20
1604203588,31.2
1604203590,33.3
1604203591,40
1604203592,25
1604203593,26.7
1604203594,33.3
1604203595,18.8
1604203597,26.7
1604203598,37.5
1604203599,26.7
1604203600,25
1604203601,53.4
1604203602,20
1604203604,26.7
1604203605,37.5
1604203606,26.7
1604203607,40
1604203608,20
1604203609,26.7
1604203611,40
1604203612,33.3
1604203613,33.3
1604203614,18.8
1604203615,40
1604203616,37.5
1604203618,53.4
1604203619,40
1604203620,20
1604203621,40
1604203622,25
1604203623,26.7
1604203625,43.8
1604203626,33.3
1604203627,37.5
1604203628,46.7
1604203629,31.2
1604203630,25
1604203632,40
1604203633,25
1604203634,26.7
1604203635,37.5
1604203636,26.7
1604203637,25
1604203639,26.7
1604203640,12.5
1604203641,33.3
1604203642,26.7
1604203643,43.8
1604203644,26.7
1604203646,33.3
1604203647,18.8
1604203648,31.2
1604203649,20
1604203650,20
1604203651,25
1604203653,31.2
1604203654,20
1604203655,40
1604203656,40
1604203657,20
1604203658,33.4
1604203660,40
1604203661,26.7
1604203662,25
1604203663,40
1604203664,25
1604203665,26.7
1604203667,37.5
1604203668,20
1604203669,40
1604203670,40
1604203671,20
1604203672,33.3
1604203674,20
1604203675,31.2
1604203676,37.5
1604203677,33.3
1604203678,20
1604203679,26.7
1604203681,37.5
1604203682,40
1604203683,25
1604203684,46.7
1604203685,31.2
1604203686,25
1604203688,20
1604203689,25
1604203690,46.7
1604203691,40
1604203692,20
1604203693,33.3
1604203695,25
1604203696,26.7
1604203697,37.5
1604203698,26.7
1604203699,18.8
1604203700,53.4
1604203702,26.7
1604203703,18.8
1604203704,40
1604203705,25
1604203706,26.7
1604203707,18.8
1604203709,20
1604203710,46.7
1604203711,20
1604203712,46.7
1604203713,40
1604203714,46.7
1604203716,20
1604203717,40
1604203718,20
1604203719,25
1604203720,33.3
1604203721,43.7
1604203723,53.4
1604203724,40
1604203725,26.7
1604203726,26.7
1604203727,29.4
1604203728,40
1604203730,26.7
1604203731,33.3
1604203732,40
1604203733,18.8
1604203734,31.2
1604203735,40
1604203737,20
1604203738,31.2
1604203739,46.7
1604203740,18.8
1604203741,33.3
1604203742,37.5
1604203744,20
1604203745,26.7
1604203746,37.5
1604203747,20
1604203748,37.5
1604203749,20
1604203751,46.7
1604203752,40
1604203753,20
1604203754,26.7
1604203755,25
1604203756,46.7
1604203758,40
1604203759,31.2
1604203760,20
1604203761,40
1604203762,18.8
1604203763,40
1604203765,31.2
1604203766,20
1604203767,31.2
1604203768,20
1604203769,33.3
1604203770,33.3
1604203772,20
1604203773,40
1604203774,26.7
1604203775,33.3
1604203776,33.3
1604203777,31.2
1604203779,20
1604203780,37.5
1604203781,20
1604203782,26.7
1604203783,40
1604203784,26.7
1604203785,26.7
1604203787,37.5
1604203788,20
1604203789,25
1604203790,40
1604203791,18.8
1604203792,26.7
1604203794,37.5
1604203795,33.4
1604203796,33.3
1604203797,33.3
1604203798,18.8
1604203799,31.2
1604203801,33.3
1604203802,12.5
1604203803,37.5
1604203804,46.7
1604203805,12.5
