ts,load
1604204337,12.4
1604204339,0
1604204340,6.7
1604204341,0
1604204342,6.7
1604204343,0
1604204344,43.8
1604204346,25
1604204347,46.7
1604204348,66.7
1604204349,31.2
1604204350,25
1604204352,50
1604204353,53.4
1604204354,40
1604204355,40
1604204356,53.4
1604204357,50
1604204359,43.7
1604204360,40
1604204361,43.8
1604204362,66.7
1604204363,50
1604204364,43.7
1604204366,37.5
1604204367,43.8
1604204368,43.8
1604204369,33.4
1604204370,37.5
1604204372,68.6
1604204373,50
1604204374,35.3
1604204375,40
1604204376,37.5
1604204377,56.2
1604204379,46.7
1604204380,37.4
1604204381,37.5
1604204382,50
1604204383,46.7
1604204384,31.2
1604204386,56.2
1604204387,43.7
1604204388,33.4
1604204389,37.4
1604204390,37.5
1604204392,60
1604204393,50
1604204394,31.2
1604204395,31.2
1604204396,50
1604204397,62.4
1604204399,53.4
1604204400,31.2
1604204401,50
1604204402,56.2
1604204403,43.8
1604204404,33.4
1604204406,50
1604204407,66.7
1604204408,33.3
1604204409,50
1604204410,56.2
1604204412,43.7
1604204413,60
1604204414,46.8
1604204415,62.5
1604204416,53.3
1604204417,40
1604204419,46.7
1604204420,56.2
1604204421,31.2
1604204422,53.3
1604204423,53.3
1604204424,46.7
1604204426,50
1604204427,53.3
1604204428,40
1604204429,43.7
1604204430,33.3
1604204431,60.1
1604204433,50
1604204434,33.3
1604204435,46.7
1604204436,53.4
1604204437,46.7
1604204439,37.4
1604204440,50
1604204441,56.2
1604204442,43.7
1604204443,31.2
1604204444,37.5
1604204446,50
1604204447,40
1604204448,37.5
1604204449,53.3
1604204450,56.2
1604204451,37.4
1604204453,33.3
1604204454,46.7
1604204455,50
1604204456,37.4
1604204457,33.3
1604204459,56.2
1604204460,50
1604204461,31.2
1604204462,40
1604204463,43.8
1604204464,50
1604204466,31.2
1604204467,31.2
1604204468,26.7
1604204469,31.2
1604204470,50
1604204471,56.2
1604204473,40
1604204474,50
1604204475,31.2
1604204476,31.2
1604204477,25
1604204479,43.8
1604204480,56.2
1604204481,37.5
1604204482,53.4
1604204483,53.3
1604204484,56.2
1604204486,60
1604204487,25
1604204488,37.5
1604204489,43.8
1604204490,37.4
1604204491,31.2
1604204493,53.4
1604204494,53.4
1604204495,46.7
1604204496,33.4
1604204497,37.5
1604204499,60.1
1604204500,53.4
1604204501,31.2
1604204502,37.5
1604204503,60
1604204504,43.8
1604204506,43.7
1604204507,25
1604204508,43.8
1604204509,50
1604204510,37.5
1604204511,26.7
1604204513,46.7
1604204514,50
1604204515,40
1604204516,31.2
1604204517,37.5
1604204519,50
1604204520,43.7
1604204521,33.4
1604204522,37.4
1604204523,47.1
1604204524,43.8
1604204526,29.4
1604204527,40
1604204528,46.7
1604204529,66.7
1604204530,33.3
1604204531,31.2
1604204533,43.7
1604204534,53.3
1604204535,46.7
1604204536,25
1604204537,37.4
1604204539,43.8
1604204540,37.5
1604204541,25
1604204542,37.4
1604204543,41.2
1604204544,53.3
1604204546,40
1604204547,31.2
1604204548,43.8
1604204549,56.2
1604204550,31.2
1604204551,43.8
1604204553,43.8
1604204554,50
1604204555,40
1604204556,31.2
1604204557,60
1604204558,60.1
1604204560,40.1
1604204561,31.2
1604204562,62.4
1604204563,50
1604204564,53.4
1604204566,31.2
1604204567,40
1604204568,43.8
1604204569,56.2
1604204570,43.8
1604204571,25
1604204573,33.3
1604204574,50
1604204575,46.7
1604204576,31.2
1604204577,31.2
1604204579,53
1604204580,60
1604204581,46.7
1604204582,33.3
1604204583,43.7
1604204584,60
1604204586,56.2
1604204587,50
1604204588,43.8
1604204589,40
1604204590,53.4
1604204591,56.2
1604204593,56.2
1604204594,46.7
1604204595,50
1604204596,31.2
1604204597,33.3
1604204599,50
1604204600,53.4
1604204601,37.4
1604204602,40
1604204603,50
1604204604,56.2
1604204606,40
1604204607,33.3
1604204608,46.7
1604204609,56.2
1604204610,40
1604204611,25
1604204613,40
1604204614,53.3
1604204615,53.4
1604204616,37.4
1604204617,37.4
1604204619,43.8
1604204620,56.2
1604204621,46.7
1604204622,31.2
1604204623,50
1604204624,53.4
1604204626,50
1604204627,46.7
1604204628,37.5
1604204629,53.3
1604204630,31.2
1604204631,37.4
1604204633,31.2
1604204634,49.9
1604204635,60
1604204636,31.2
1604204637,40
1604204639,26.7
1604204640,26.7
1604204641,31.2
1604204642,46.7
1604204643,40
1604204644,43.7
1604204646,20
1604204647,31.2
1604204648,46.7
1604204649,53.3
1604204650,37.5
1604204651,33.3
1604204653,40
1604204654,50
1604204655,37.5
1604204656,37.4
1604204657,37.5
1604204659,37.4
1604204660,43.8
1604204661,60
1604204662,33.3
1604204663,37.4
1604204664,50
1604204666,46.7
1604204667,31.2
1604204668,46.7
1604204669,53.3
1604204670,43.8
1604204671,37.4
1604204673,37.4
1604204674,46.7
1604204675,56.2
1604204676,31.2
1604204677,31.2
1604204679,43.8
1604204680,43.8
1604204681,37.4
1604204682,37.4
1604204683,60
1604204684,50
1604204686,40
1604204687,33.3
1604204688,56.2
1604204689,60
1604204690,37.5
1604204691,43.7
1604204693,31.2
1604204694,37.4
1604204695,53.4
1604204696,56.2
1604204697,37.4
1604204699,49.9
1604204700,49.9
1604204701,60
1604204702,37.5
1604204703,25
1604204704,43.6
1604204706,53.4
1604204707,43.8
1604204708,46.7
1604204709,25
1604204710,40
1604204712,43.7
1604204713,50
1604204714,31.2
1604204715,31.2
1604204716,41.2
1604204717,50
1604204719,46.7
1604204720,25
1604204721,33.3
1604204722,56.2
1604204723,43.8
1604204724,33.3
1604204726,37.5
1604204727,50
1604204728,37.4
1604204729,37.4
1604204730,46.7
1604204732,64.7
1604204733,40
1604204734,43.8
1604204735,33.3
1604204736,25
1604204737,56.2
1604204739,56.2
1604204740,50
1604204741,56.2
1604204742,46.7
1604204743,56.2
1604204744,37.5
1604204746,26.7
1604204747,49.9
1604204748,50
1604204749,56.2
1604204750,56.2
1604204752,40
1604204753,13.3
1604204754,50
1604204755,53.3
1604204756,31.2
1604204757,46.7
1604204759,43.8
1604204760,31.2
1604204761,37.5
1604204762,66.7
1604204763,43.7
1604204764,25
1604204766,33.3
1604204767,50
1604204768,73.4
1604204769,37.4
1604204770,31.2
1604204772,53.3
1604204773,37.5
1604204774,33.3
1604204775,31.2
1604204776,20
1604204777,35.3
1604204779,56.2
1604204780,33.3
1604204781,66.7
1604204782,50
1604204783,43.7
1604204784,31.2
1604204786,53.4
1604204787,56.2
1604204788,53.4
1604204789,31.2
1604204790,37.4
1604204792,50
1604204793,50
1604204794,53.4
1604204795,31.2
1604204796,37.5
1604204797,56.2
1604204799,46.7
1604204800,25
1604204801,37.4
1604204802,40
1604204803,37.4
1604204804,53.4
1604204806,37.5
1604204807,40
1604204808,40
1604204809,46.7
1604204810,50
1604204812,60
1604204813,43.8
1604204814,37.5
1604204815,25
1604204816,53.3
1604204817,43.8
1604204819,35.3
1604204820,37.4
1604204821,31.2
1604204822,46.7
1604204823,40
1604204824,40
1604204826,33.3
1604204827,37.5
1604204828,56.2
1604204829,53.4
1604204830,50
1604204832,43.8
1604204833,40
1604204834,31.2
1604204835,43.8
1604204836,37.4
1604204837,31.2
1604204839,43.7
1604204840,50
1604204841,31.2
1604204842,53.4
1604204843,41.2
1604204845,50
1604204846,25
1604204847,40
1604204848,56.2
1604204849,53.4
1604204850,37.4
1604204852,40
1604204853,50
1604204854,46.7
1604204855,43.7
1604204856,37.4
1604204857,50
1604204859,53.3
1604204860,31.2
1604204861,43.6
1604204862,46.7
1604204863,50
1604204864,50
1604204866,43.7
1604204867,31.2
1604204868,37.5
1604204869,73.4
1604204870,53.4
1604204872,25
1604204873,43.7
1604204874,53.3
1604204875,50
1604204876,25
1604204877,37.5
1604204879,56.2
1604204880,56.2
1604204881,25
1604204882,46.7
1604204883,50
