ts,load
1604213965,0
1604213966,0
1604213967,6.7
1604213969,6.7
1604213970,0
1604213971,6.2
1604213972,6.2
1604213973,0
1604213974,0
1604213976,6.7
1604213977,0
1604213978,6.2
1604213979,0
1604213980,0
1604213981,0
1604213983,0
1604213984,6.2
1604213985,0
1604213986,0
1604213987,0
1604213988,6.7
1604213990,0
1604213991,6.7
1604213992,13.4
1604213993,0
1604213994,0
1604213995,0
1604213997,6.7
1604213998,0
1604213999,0
1604214000,6.2
1604214001,0
1604214002,6.7
1604214004,6.2
1604214005,0
1604214006,0
1604214007,6.7
1604214008,0
1604214009,0
1604214011,0
1604214012,0
1604214013,0
1604214014,0
1604214015,6.7
1604214016,6.2
1604214018,0
1604214019,43.7
1604214020,50
1604214021,18.8
1604214022,31.2
1604214023,40
1604214025,33.4
1604214026,26.7
1604214027,40
1604214028,25
1604214029,25
1604214030,46.7
1604214032,33.4
1604214033,20
1604214034,37.5
1604214035,43.6
1604214036,13.3
1604214037,37.5
1604214039,40
1604214040,26.7
1604214041,31.2
1604214042,43.8
1604214043,49.9
1604214044,31.2
1604214046,43.7
1604214047,37.4
1604214048,33.4
1604214049,40
1604214050,46.7
1604214051,26.7
1604214053,31.2
1604214054,31.2
1604214055,13.3
1604214056,25
1604214057,40
1604214059,25
1604214060,25
1604214061,37.5
1604214062,26.7
1604214063,20
1604214064,33.3
1604214066,33.3
1604214067,20
1604214068,26.7
1604214069,46.7
1604214070,13.3
1604214071,18.8
1604214073,43.7
1604214074,25
1604214075,46.7
1604214076,46.7
1604214077,25
1604214078,25
1604214080,33.3
1604214081,26.7
1604214082,40
1604214083,33.3
1604214084,40
1604214085,20
1604214087,33.3
1604214088,43.7
1604214089,20
1604214090,31.2
1604214091,40
1604214092,20
1604214094,33.4
1604214095,46.7
1604214096,25
1604214097,20
1604214098,31.2
1604214099,37.4
1604214101,18.8
1604214102,25
1604214103,33.3
1604214104,40
1604214105,40
1604214106,20
1604214108,33.3
1604214109,25
1604214110,37.4
1604214111,12.5
1604214112,25
1604214113,40
1604214115,40
1604214116,40
1604214117,12.4
1604214118,6.2
1604214119,40
1604214121,26.7
1604214122,33.4
1604214123,40
1604214124,33.3
1604214125,20
1604214126,25
1604214128,33.3
1604214129,26.7
1604214130,26.7
1604214131,40
1604214132,40
1604214133,26.7
1604214135,31.2
1604214136,37.4
1604214137,33.4
1604214138,26.7
1604214139,33.3
1604214140,25
1604214142,26.7
1604214143,40
1604214144,46.7
1604214145,50
1604214146,46.7
1604214147,26.7
1604214149,40
1604214150,37.5
1604214151,31.2
1604214152,26.7
1604214153,40
