ts,load
1604220119,6.7
1604220120,0
1604220122,0
1604220123,0
1604220124,0
1604220125,0
1604220126,6.2
1604220127,12.4
1604220129,6.2
1604220130,0
1604220131,0
1604220132,0
1604220133,0
1604220135,0
1604220136,0
1604220137,6.7
1604220138,0
1604220139,0
1604220140,0
1604220142,50
1604220143,53.3
1604220144,43.7
1604220145,50
1604220146,56.2
1604220147,46.7
1604220149,31.2
1604220150,43.7
1604220151,68.7
1604220152,40
1604220153,25
1604220155,46.7
1604220156,46.7
1604220157,37.4
1604220158,37.4
1604220159,40
1604220160,46.7
1604220162,40
1604220163,40
1604220164,50
1604220165,37.5
1604220166,25
1604220167,40
1604220169,46.7
1604220170,46.7
1604220171,33.3
1604220172,37.5
1604220173,60
1604220174,33.3
1604220176,26.7
1604220177,50
1604220178,40
1604220179,37.4
1604220180,43.8
1604220182,33.4
1604220183,41.2
1604220184,43.8
1604220185,50
1604220186,50
1604220187,37.5
1604220189,33.4
1604220190,37.5
1604220191,56.2
1604220192,40
1604220193,26.7
1604220194,43.7
1604220196,50
1604220197,31.2
1604220198,31.2
1604220199,46.7
1604220200,46.7
1604220201,33.4
1604220203,40
1604220204,43.7
1604220205,31.2
1604220206,18.7
1604220207,25
1604220209,40
1604220210,37.5
1604220211,46.7
1604220212,60
1604220213,43.8
1604220214,25
1604220216,50
1604220217,40
1604220218,53.3
1604220219,40
1604220220,26.7
1604220221,46.7
1604220223,56.2
1604220224,43.6
1604220225,26.7
1604220226,46.7
1604220227,46.7
1604220228,40
1604220230,33.3
1604220231,40
1604220232,31.2
1604220233,43.8
1604220234,26.7
1604220236,56.2
1604220237,50
1604220238,18.8
1604220239,33.4
1604220240,40
1604220241,37.5
1604220243,43.7
1604220244,33.3
1604220245,53.4
1604220246,33.3
1604220247,31.2
1604220248,50
1604220250,49.9
1604220251,50
1604220252,53.3
1604220253,50
1604220254,33.3
1604220255,50
1604220257,43.8
1604220258,31.2
1604220259,53.3
1604220260,31.2
1604220261,37.5
1604220263,25
1604220264,33.3
1604220265,53.4
1604220266,33.3
1604220267,33.3
1604220268,60.1
1604220270,26.7
1604220271,37.4
1604220272,25
1604220273,50
1604220274,43.8
1604220275,25
1604220277,53.4
1604220278,46.7
1604220279,60
1604220280,46.7
1604220281,31.2
1604220282,37.5
1604220284,50
1604220285,26.7
1604220286,43.7
1604220287,60
1604220288,40
1604220290,26.7
1604220291,37.5
1604220292,33.3
1604220293,43.8
1604220294,43.8
1604220295,40
1604220297,37.5
1604220298,50
1604220299,50
1604220300,33.4
1604220301,43.7
1604220302,43.8
1604220304,37.5
1604220305,37.4
1604220306,53.4
1604220307,53.3
1604220308,31.2
1604220310,33.3
1604220311,31.2
